lr-AdamW,step,train/loss,epoch,val/loss,val/CER,val/IER,val/DER,val/SER,train/CER,train/IER,train/DER,train/SER
,1499,2.0987067222595215,12,,,,,,,,,
,1499,,12,2.062285900115967,88.85688781738281,88.30305480957031,0.0,0.5538325309753418,,,,
0.001,1509,,,,,,,,,,,
,1509,2.1872787475585938,12,,,,,,,,,
0.001,1519,,,,,,,,,,,
,1519,2.1373119354248047,12,,,,,,,,,
0.001,1529,,,,,,,,,,,
,1529,2.145169973373413,12,,,,,,,,,
0.001,1539,,,,,,,,,,,
,1539,2.076470375061035,12,,,,,,,,,
0.001,1549,,,,,,,,,,,
,1549,2.063035488128662,12,,,,,,,,,
0.001,1559,,,,,,,,,,,
,1559,2.255606174468994,12,,,,,,,,,
,1559,,12,2.06320858001709,81.47984313964844,79.6854248046875,0.022153301164507866,1.7722641229629517,,,,
,1559,,12,,,,,,87.46080780029297,85.82430267333984,0.012376918457448483,1.6241267919540405
0.001,1569,,,,,,,,,,,
,1569,2.1859235763549805,13,,,,,,,,,
0.001,1579,,,,,,,,,,,
,1579,2.118283271789551,13,,,,,,,,,
0.001,1589,,,,,,,,,,,
,1589,2.075693130493164,13,,,,,,,,,
0.001,1599,,,,,,,,,,,
,1599,2.2127344608306885,13,,,,,,,,,
0.001,1609,,,,,,,,,,,
,1609,2.0102438926696777,13,,,,,,,,,
0.001,1619,,,,,,,,,,,
,1619,2.12314510345459,13,,,,,,,,,
,1619,,13,1.9741815328598022,82.94195556640625,81.43553161621094,0.04430660232901573,1.4621179103851318,,,,
0.001,1629,,,,,,,,,,,
,1629,2.0581345558166504,13,,,,,,,,,
0.001,1639,,,,,,,,,,,
,1639,2.1210885047912598,13,,,,,,,,,
0.001,1649,,,,,,,,,,,
,1649,2.09185528755188,13,,,,,,,,,
0.001,1659,,,,,,,,,,,
,1659,2.0962274074554443,13,,,,,,,,,
0.001,1669,,,,,,,,,,,
,1669,2.2045412063598633,13,,,,,,,,,
0.001,1679,,,,,,,,,,,
,1679,2.021726369857788,13,,,,,,,,,
,1679,,13,1.8838186264038086,79.70757293701172,77.86885070800781,0.04430660232901573,1.794417381286621,,,,
,1679,,13,,,,,,85.0748519897461,82.8780746459961,0.01924583874642849,2.1775290966033936
0.001,1689,,,,,,,,,,,
,1689,2.0105648040771484,14,,,,,,,,,
0.001,1699,,,,,,,,,,,
,1699,2.0722062587738037,14,,,,,,,,,
0.001,1709,,,,,,,,,,,
,1709,2.105677604675293,14,,,,,,,,,
0.001,1719,,,,,,,,,,,
,1719,2.0198974609375,14,,,,,,,,,
0.001,1729,,,,,,,,,,,
,1729,2.020897388458252,14,,,,,,,,,
0.001,1739,,,,,,,,,,,
,1739,1.9914729595184326,14,,,,,,,,,
,1739,,14,1.9139318466186523,82.32166290283203,80.72663116455078,0.0,1.5950376987457275,,,,
0.001,1749,,,,,,,,,,,
,1749,2.147706985473633,14,,,,,,,,,
0.001,1759,,,,,,,,,,,
,1759,2.1068830490112305,14,,,,,,,,,
0.001,1769,,,,,,,,,,,
,1769,1.9693875312805176,14,,,,,,,,,
0.001,1779,,,,,,,,,,,
,1779,2.093858003616333,14,,,,,,,,,
0.001,1789,,,,,,,,,,,
,1789,1.9469830989837646,14,,,,,,,,,
0.001,1799,,,,,,,,,,,
,1799,2.0050301551818848,14,,,,,,,,,
,1799,,14,1.782325029373169,78.66637420654297,76.62826538085938,0.022153301164507866,2.0159504413604736,,,,
,1799,,14,,,,,,82.05581665039062,78.90332794189453,0.040044739842414856,3.112442970275879
0.001,1809,,,,,,,,,,,
,1809,1.9314937591552734,15,,,,,,,,,
0.001,1819,,,,,,,,,,,
,1819,1.9471139907836914,15,,,,,,,,,
0.001,1829,,,,,,,,,,,
,1829,1.9432635307312012,15,,,,,,,,,
0.001,1839,,,,,,,,,,,
,1839,2.0107004642486572,15,,,,,,,,,
0.001,1849,,,,,,,,,,,
,1849,2.067930221557617,15,,,,,,,,,
0.001,1859,,,,,,,,,,,
,1859,1.9499402046203613,15,,,,,,,,,
,1859,,15,1.8209348917007446,73.59326171875,69.07398986816406,0.11076650768518448,4.408506870269775,,,,
0.001,1869,,,,,,,,,,,
,1869,1.9649356603622437,15,,,,,,,,,
0.001,1879,,,,,,,,,,,
,1879,1.9251080751419067,15,,,,,,,,,
0.001,1889,,,,,,,,,,,
,1889,1.842866063117981,15,,,,,,,,,
0.001,1899,,,,,,,,,,,
,1899,1.8563967943191528,15,,,,,,,,,
0.001,1909,,,,,,,,,,,
,1909,1.909752368927002,15,,,,,,,,,
0.001,1919,,,,,,,,,,,
,1919,1.9301316738128662,15,,,,,,,,,
,1919,,15,1.6835534572601318,73.32742309570312,67.85556030273438,0.04430660232901573,5.427558898925781,,,,
,1919,,15,,,,,,78.83097076416016,74.57433319091797,0.05638839304447174,4.200247764587402
0.001,1929,,,,,,,,,,,
,1929,1.9447342157363892,16,,,,,,,,,
0.001,1939,,,,,,,,,,,
,1939,2.0035524368286133,16,,,,,,,,,
0.001,1949,,,,,,,,,,,
,1949,1.9010308980941772,16,,,,,,,,,
0.001,1959,,,,,,,,,,,
,1959,1.8794317245483398,16,,,,,,,,,
0.001,1969,,,,,,,,,,,
,1969,1.7565442323684692,16,,,,,,,,,
0.001,1979,,,,,,,,,,,
,1979,1.9687669277191162,16,,,,,,,,,
,1979,,16,1.6710138320922852,69.4284439086914,63.55781936645508,0.11076650768518448,5.759858131408691,,,,
0.001,1989,,,,,,,,,,,
,1989,1.7868571281433105,16,,,,,,,,,
0.001,1999,,,,,,,,,,,
,1999,1.9018733501434326,16,,,,,,,,,
0.001,2009,,,,,,,,,,,
,2009,1.7437787055969238,16,,,,,,,,,
0.001,2019,,,,,,,,,,,
,2019,1.8882085084915161,16,,,,,,,,,
0.001,2029,,,,,,,,,,,
,2029,1.9175198078155518,16,,,,,,,,,
0.001,2039,,,,,,,,,,,
,2039,1.7863829135894775,16,,,,,,,,,
,2039,,16,1.6172147989273071,69.45059967041016,62.71599578857422,0.08861320465803146,6.645990371704102,,,,
,2039,,16,,,,,,74.4654541015625,68.31871032714844,0.14693966507911682,5.999807834625244
0.001,2049,,,,,,,,,,,
,2049,1.9999854564666748,17,,,,,,,,,
0.001,2059,,,,,,,,,,,
,2059,1.755576729774475,17,,,,,,,,,
0.001,2069,,,,,,,,,,,
,2069,1.8876123428344727,17,,,,,,,,,
0.001,2079,,,,,,,,,,,
,2079,1.9580721855163574,17,,,,,,,,,
0.001,2089,,,,,,,,,,,
,2089,1.813378095626831,17,,,,,,,,,
0.001,2099,,,,,,,,,,,
,2099,1.7874594926834106,17,,,,,,,,,
,2099,,17,1.5550472736358643,63.42490005493164,55.206024169921875,0.287992924451828,7.930881500244141,,,,
0.001,2109,,,,,,,,,,,
,2109,1.8368617296218872,17,,,,,,,,,
0.001,2119,,,,,,,,,,,
,2119,1.7385258674621582,17,,,,,,,,,
0.001,2129,,,,,,,,,,,
,2129,1.8235710859298706,17,,,,,,,,,
0.001,2139,,,,,,,,,,,
,2139,1.7725040912628174,17,,,,,,,,,
0.001,2149,,,,,,,,,,,
,2149,1.800010323524475,17,,,,,,,,,
0.001,2159,,,,,,,,,,,
,2159,1.8753483295440674,17,,,,,,,,,
,2159,,17,1.5496318340301514,61.45325469970703,53.500221252441406,0.287992924451828,7.665041923522949,,,,
,2159,,17,,,,,,68.90101623535156,59.94942092895508,0.2693861722946167,8.682207107543945
0.001,2169,,,,,,,,,,,
,2169,1.6910812854766846,18,,,,,,,,,
0.001,2179,,,,,,,,,,,
,2179,1.7137914896011353,18,,,,,,,,,
0.001,2189,,,,,,,,,,,
,2189,1.6665903329849243,18,,,,,,,,,
0.001,2199,,,,,,,,,,,
,2199,1.6638811826705933,18,,,,,,,,,
0.001,2209,,,,,,,,,,,
,2209,1.8565497398376465,18,,,,,,,,,
0.001,2219,,,,,,,,,,,
,2219,1.7819422483444214,18,,,,,,,,,
,2219,,18,1.5068919658660889,58.750553131103516,48.2498893737793,0.33229950070381165,10.168365478515625,,,,
0.001,2229,,,,,,,,,,,
,2229,1.7803713083267212,18,,,,,,,,,
0.001,2239,,,,,,,,,,,
,2239,1.697306513786316,18,,,,,,,,,
0.001,2249,,,,,,,,,,,
,2249,1.7130357027053833,18,,,,,,,,,
0.001,2259,,,,,,,,,,,
,2259,1.6710566282272339,18,,,,,,,,,
0.001,2269,,,,,,,,,,,
,2269,1.7859747409820557,18,,,,,,,,,
0.001,2279,,,,,,,,,,,
,2279,1.858859658241272,18,,,,,,,,,
