lr-AdamW,step,train/loss,epoch,val/loss,val/CER,val/IER,val/DER,val/SER,train/CER,train/IER,train/DER,train/SER
,1349,0.23044365644454956,11,,,,,,,,,
0.001,1359,,,,,,,,,,,
,1359,0.2673312723636627,11,,,,,,,,,
0.001,1369,,,,,,,,,,,
,1369,0.2600874900817871,11,,,,,,,,,
0.001,1379,,,,,,,,,,,
,1379,0.2790420949459076,11,,,,,,,,,
,1379,,11,0.9966588020324707,18.409393310546875,4.009747505187988,2.857775926589966,11.5418701171875,,,,
0.001,1389,,,,,,,,,,,
,1389,0.2096778005361557,11,,,,,,,,,
0.001,1399,,,,,,,,,,,
,1399,0.28620120882987976,11,,,,,,,,,
0.001,1409,,,,,,,,,,,
,1409,0.2572786211967468,11,,,,,,,,,
0.001,1419,,,,,,,,,,,
,1419,0.23257721960544586,11,,,,,,,,,
0.001,1429,,,,,,,,,,,
,1429,0.30825331807136536,11,,,,,,,,,
0.001,1439,,,,,,,,,,,
,1439,0.17657774686813354,11,,,,,,,,,
,1439,,11,0.9716740846633911,16.72574234008789,2.74700927734375,2.303943395614624,11.674789428710938,,,,
,1439,,11,,,,,,8.07976245880127,2.7558131217956543,2.14034366607666,3.183605909347534
0.001,1449,,,,,,,,,,,
,1449,0.2705942690372467,12,,,,,,,,,
0.001,1459,,,,,,,,,,,
,1459,0.2271772027015686,12,,,,,,,,,
0.001,1469,,,,,,,,,,,
,1469,0.27700579166412354,12,,,,,,,,,
0.001,1479,,,,,,,,,,,
,1479,0.27321314811706543,12,,,,,,,,,
0.001,1489,,,,,,,,,,,
,1489,0.3032640814781189,12,,,,,,,,,
0.001,1499,,,,,,,,,,,
,1499,0.32078203558921814,12,,,,,,,,,
,1499,,12,0.9539670348167419,17.39034080505371,4.519273281097412,1.9937970638275146,10.877270698547363,,,,
0.001,1509,,,,,,,,,,,
,1509,0.25117748975753784,12,,,,,,,,,
0.001,1519,,,,,,,,,,,
,1519,0.285796195268631,12,,,,,,,,,
0.001,1529,,,,,,,,,,,
,1529,0.19573523104190826,12,,,,,,,,,
0.001,1539,,,,,,,,,,,
,1539,0.24998770654201508,12,,,,,,,,,
0.001,1549,,,,,,,,,,,
,1549,0.27445486187934875,12,,,,,,,,,
0.001,1559,,,,,,,,,,,
,1559,0.3306272625923157,12,,,,,,,,,
